product,name,description,availability,sku,price,year,name_for_matching,collection,keshi,metal,category,pearl_type
petite-bella-pendant-oval-white-gold,Petite Bella Pendant,Paspaley Australian South Sea pearl pendant featuring one 11mm oval pearl set in 750 white gold. Chain available separately. The simplicity of this classic design accentuates a small soft oval pearl. NA,NA,C00P05WPO11,1580,2017,petite-bella-pendant-oval-white-gold,Other,FALSE,White gold,Necklaces And Pendants,Oval
petite-bella-pendant-oval-yellow-gold,Petite Bella Pendant,"Paspaley Australian South Sea pearl pendant featuring one 11mm oval pearl set in 750 yellow gold. Chain available separately. A petite bale set upon an oval pearl makes for a casual and classic piece, accentuating the natural beauty of the pearl. NA",NA,C00P05YPO11,1580,2017,petite-bella-pendant-oval-yellow-gold,Other,FALSE,Yellow gold,Necklaces And Pendants,Oval
petite-circle-pearl-strand,Petite Circle Pearl Strand,"Paspaley Australian South Sea pearl strand featuring thirty-eight 10-11mm circle pearls. 43.5cm princess length strand identified by the Paspaley Strand Signature, a brilliant cut diamond set seamlessly in the end pearl. GIA certificate available. The ultimate expression of femininity, this unique circle strand shows a woman's individuality. A unique clasp mechanism enables you to instantaneously personalise this strand with any one of Paspaley's jewelled interchangeable clasps. NA",NA,SCPC1011073,7980,2017,petite-circle-pearl-strand,Strand,FALSE,Other,Strands,Circle
petite-pod-pendant,Petite Pod Pendant,"Paspaley Australian South Sea pearl pendant featuring one, 12mm oval/drop pearl set in 750 yellow gold with white diamonds. Chain available separately. Simplicity is key with this 'wear anywhere, with anything' design. Warm gold hues accentuate the pearls soft glow, while subtle diamond ascents, embody the magnificent craftsmanship. NA",NA,S12P05YPO12,2150,2017,petite-pod-pendant,Other,FALSE,Yellow gold,Necklaces And Pendants,Drop
petite-pod-swirl-pendant,Petite Pod Swirl Pendant,"Paspaley Australian South Sea pearl pendant featuring one, 12mm oval/drop pearl set in 750 yellow gold with white diamonds. Chain available separately. Style to be treasured forever. A swirl of sparkling diamonds on mirror-like warm gold enhances the understated luminosity of the pearl. NA",NA,S12P03YPO12,3450,2017,petite-pod-swirl-pendant,Other,FALSE,Yellow gold,Necklaces And Pendants,Drop
petite-round-pearl-strand,Petite Round Pearl Strand,"Paspaley Australian South Sea pearl strand featuring thirty-eight 11-12mm round pearls. 43.5cm choker length strand identified by the Paspaley Strand Signature, a brilliant cut diamond set seamlessly in the end pearl.  GIA certificate available. The traditional appeal and beautiful symmetry of a meticulously matched perfect round pearl strand is the eternal foundation of any fine jewellery collection. A unique clasp mechanism enables you to instantaneously personalise this strand with any one of Paspaley's jewelled interchangeable clasps. NA",NA,SCPR1112023,39800,2017,petite-round-pearl-strand,Strand,FALSE,Other,Strands,Round
pod-bracelet,Pod Bracelet,"Paspaley Australian South Sea pearl bracelet featuring three, 11mm oval/drop pearls set in 750 yellow gold with white diamonds. Not just visually beautiful but beautifully wearable. Natural movement of the wrist twists to show hints of hidden diamonds around the luscious oval pearls. NA",NA,S12B04YPO11,7280,2017,pod-bracelet,Other,FALSE,Yellow gold,Bracelets,Drop
pod-fine-ceramic-earrings,Pod Fine Ceramic Earrings,"Paspaley Australian South Sea pearl earrings featuring two, 12mm oval/drop pearls set in 750 white gold and fine black ceramic with white diamonds. Be the epitome of urban chic with these seductive earrings. A design of contrast, the pod mimics the feminine shape of the lustrous pearl while the intensity of contrasting black adds an urban edge. NA",NA,S12E09WPO12,3880,2017,pod-fine-ceramic-earrings,Other,FALSE,White gold,Earrings,Drop
pod-pendant,Pod Pendant,"Paspaley Australian South Sea pearl pendant featuring one, 15mm oval/drop pearl set in 750 yellow gold with white diamonds. Chain available separately. Simplicity is key with this 'wear anywhere, with anything' design. Warm gold hues accentuate the pearls soft glow, while subtle diamond accents, embody the magnificent craftsmanship. NA",NA,S12P06YPO15,4250,2017,pod-pendant,Other,FALSE,Yellow gold,Necklaces And Pendants,Drop
pod-swirl-clasp,Pod Swirl Clasp,"Paspaley clasp set in 750 yellow gold with ninety six white diamonds, total 0.98 carats. Add a little length and a lot of sparkle to your strand. Unlike a traditional clasp a Diamond Swirl Pod clasp can be worn alongside a pearl clasp or can be stacked in endless combinations using strands cascades and nitriles. NA",NA,S12L05Y,5980,2017,pod-swirl-clasp,Other,FALSE,Yellow gold,Clasps,Unsure
pod-swirl-earrings,Pod Swirl Earrings,"Paspaley Australian South Sea pearl earrings featuring two 12mm oval/drop pearls set in 750 yellow gold with eighty white diamonds, total 0.77 carats. The enduring elegance of warm radiant gold and spiralling diamonds on these earrings will make an exquisite addition to any jewellery box. NA",NA,S12E04YPO12,7280,2017,pod-swirl-earrings,Other,FALSE,Yellow gold,Earrings,Drop
pod-swirl-pendant,Pod Swirl Pendant,"Paspaley Australian South Sea pearl pendant featuring one, 15mm oval/drop pearl set in 750 yellow gold with twenty nine white diamonds, total 0.28 carats. Chain available separately. Style to be treasured forever. A swirl of sparkling diamonds on mirror-like warm gold enhances the understated luminosity of the pearl. NA",NA,S12P04YPO15,6250,2017,pod-swirl-pendant,Other,FALSE,Yellow gold,Necklaces And Pendants,Drop
rockpool-clasp-white-gold,Rockpool Clasp White Gold,"Clasp in White Gold and 504 White Diamonds.
Featuring pave set diamonds, create a unique look for your strand with this clasp.
Strand sold separately NA",NA,X17L10W,26800,2017,rockpool-clasp-white-gold,Rockpool,FALSE,White gold,Other,Unsure
rockpool-clasp-yellow-gold,Rockpool Clasp Yellow Gold,"Clasp in Yellow Gold and 504 White Diamonds.
Featuring pave set diamonds, create a unique look for your strand with this clasp. NA",NA,X17L10Y,26800,2017,rockpool-clasp-yellow-gold,Rockpool,FALSE,Yellow gold,Other,Unsure
rockpool-keshi-cluster-earrings,Rockpool Keshi Cluster Earrings,"Earrings in Platinum with two, 6mm Keshi Baroque Australian South Sea Pearls and two White Diamonds.
These earrings feature keshi pearls - an exceptionally rare type of pearl, with only a small quantity discovered each year. The triple keshi pearl studs boast a rare trillion cut diamond in the centre. Please contact our Personal Shopper for more details. NA",NA,X17E13PKQ06,12800,2017,rockpool-keshi-cluster-earrings,Rockpool,TRUE,Other,Earrings,Unsure
rockpool-long-chain-white-gold,Rockpool Long Chain White Gold,"Chain in White Gold with 20, 5mm Keshi Baroque Australian South Sea Pearls and 18 White Diamonds.
This stunning chain features exceptionally rare keshi pearls. Rockpool pendants can be playfully added to create a unique look. Pendant sold separately. NA",NA,X17C10WKQ05,9880,2017,rockpool-long-chain-white-gold,Rockpool,TRUE,White gold,Necklaces And Pendants,Unsure
rockpool-paraiba-collier,Rockpool Paraiba Collier,"Unique Collier in Platinum with 110, 5-11mm Keshi Baroque Australian South Sea Pearls, 15 Paraiba Tourmalines and 521 White Diamonds.
This collier features some of the rarest Paspaley gem-quality keshi pearls. Only a small quantity of keshi pearls of this size and quality are discovered each year. Combined with one of the rarest gemstones on the planet, the unique colour of Paraiba tourmalines reflects the pristine blue waters of the Kimberley coastline. Each pearl is set with the ability to quiver and rest softly on the body. Please contact our Personal Shopper to discover more. NA",NA,X17N10PKQ11,388000,2017,rockpool-paraiba-collier,Rockpool,TRUE,Other,Necklaces And Pendants,Unsure
rockpool-paraiba-cuff,Rockpool Paraiba Cuff,"Unique Bracelet in Platinum with forty-eight, 5-11mm Keshi Baroque Australian South Sea Pearls, nine Paraiba Tourmaline and 271 White Diamonds.
This design features some of the rarest Paspaley gem-quality keshi pearls. Only a small quantity of keshi pearls of this size and quality are discovered each year. Combined with one of the rarest gemstones on the planet, the unique colour of Paraiba tourmalines reflects the pristine blue waters of the Kimberley coastline.
Please contact our Personal Shopper for more details. NA",NA,X17B11PKQ11,198000,2017,rockpool-paraiba-cuff,Rockpool,TRUE,Other,Bracelets,Unsure
rockpool-paraiba-earrings,Rockpool Paraiba Earrings,"Earrings in Platinum with 14, 7-9mm Keshi Baroque Australian South Sea Pearls, 2 Paraiba Tourmalines (7.86ct) and 197 White Diamonds.
Featuring some of the rarest Paspaley gem-quality keshi pearls. Only a small quantity of keshi pearls of this size and quality are discovered each year. This cuff features one of the rarest gemstones on the planet, the unique colour of Paraiba tourmalines reflects the pristine blue waters of the Kimberley coastline.
Please contact our Personal Shopper for more details. NA",NA,X17E12PKQ09,68800,2017,rockpool-paraiba-earrings,Rockpool,TRUE,Other,Earrings,Unsure
rockpool-paraiba-ring,Rockpool Paraiba Ring,"Unique Ring in Platinum with six, 7-10mm Keshi Baroque Australian South Sea Pearls, one Paraiba Tourmaline and 50 White Diamonds.
This design features some of the rarest Paspaley gem-quality keshi pearls. Only a small quantity of keshi pearls of this size and quality are discovered each year. Combined with one of the rarest gemstones on the planet, the unique colour of Paraiba tourmalines reflects the pristine blue waters of the Kimberley coastline.
Please contact our Personal Shopper for more details. NA",NA,X17R11PKQ10,36800,2017,rockpool-paraiba-ring,Rockpool,TRUE,Other,Rings,Unsure
rockpool-pave-shell-earrings-white-gold,Rockpool Pave Shell Earrings White Gold,"Earrings in White Gold with two, 12mm Round Australian South Sea Pearls and 724 White Diamonds.
These earrings feature two perfectly matched, round Paspaley pearls, combined with seashells covered in pave-set diamonds that feel like the grains of sand that would naturally cover shells on the beach. NA",NA,X17E10WPR12,29800,2017,rockpool-pave-shell-earrings-white-gold,Rockpool,FALSE,White gold,Earrings,Round
rockpool-pave-shell-earrings-yellow-gold,Rockpool Pave Shell Earrings Yellow Gold,"Earrings in Yellow Gold with two, 12mm Round Australian South Sea Pearls and 724 White Diamonds.
These earrings feature two perfectly matched, round Paspaley pearls, combined with seashells covered in pave-set diamonds that feel like the grains of sand that would naturally cover shells on the beach. NA",NA,X17E10YPR12,29800,2017,rockpool-pave-shell-earrings-yellow-gold,Rockpool,FALSE,Yellow gold,Earrings,Round
rockpool-pendant-white-gold,Rockpool Pendant White Gold,"Pendant in White Gold, with 6mm Keshi Baroque Australian South Sea Pearl and 122 White Diamonds and Mother-of-Pearl. 
This piece incorporates hand-carved mother-of-pearl from the very shells that grow Paspaley pearls. The three-dimensional clam shells can open and close, to be worn on variety of chain styles we’ve created especially for this collection. A rare Paspaley keshi pearl is suspended from the edge of the shell. Chain sold separately. NA",NA,X17P11WKQ06,8980,2017,rockpool-pendant-white-gold,Rockpool,TRUE,White gold,Necklaces And Pendants,Mother of pearl
rockpool-pendant-yellow-gold,Rockpool Pendant Yellow Gold,"Pendant in Yellow Gold, with 6mm Keshi Baroque Australian South Sea Pearl and 122 White Diamonds and Mother-of-Pearl.
This piece incorporates hand-carved mother-of-pearl from the very shells that grow Paspaley pearls. The three-dimensional clam shells can open and close, to be worn on variety of chain styles we’ve created especially for this collection. A rare Paspaley keshi pearl is suspended from the edge of the shell. Chain sold separately. NA",NA,X17P11YKQ06,8980,2017,rockpool-pendant-yellow-gold,Rockpool,TRUE,Yellow gold,Necklaces And Pendants,Mother of pearl
rockpool-petite-pendant-white-gold,Rockpool Petite Pendant White Gold,"Pendant in White Gold with Mother-of-Pearl and 91 White Diamonds.
This piece incorporates hand-carved mother-of-pearl from the very shells that grow Paspaley pearls. The three-dimensional clam shells can open and close, to be worn on variety of chain styles we’ve created especially for this collection. Chain sold separately. NA",NA,X17P10W,6880,2017,rockpool-petite-pendant-white-gold,Rockpool,FALSE,White gold,Necklaces And Pendants,Mother of pearl
rockpool-petite-pendant-yellow-gold,Rockpool Petite Pendant Yellow Gold,"Pendant in Yellow Gold with Mother-of-Pearl and 91 White Diamonds.
This piece incorporates hand-carved mother-of-pearl from the very shells that grow Paspaley pearls. The three-dimensional clam shells can open and close, to be worn on variety of chains styles we’ve created especially for this collection. Chain sold separately. NA",NA,X17P10Y,6880,2017,rockpool-petite-pendant-yellow-gold,Rockpool,FALSE,Yellow gold,Necklaces And Pendants,Mother of pearl
rockpool-ring-white-gold-52,Rockpool Ring White Gold 52,"Ring in White Gold, with 11mm Round Australian South Sea Pearl and 112 White Diamonds.
A single, luminous Paspaley pearl is sits atop a stunning band, set with pave diamonds. NA",NA,X17R10WPR1152,7680,2017,rockpool-ring-white-gold-52,Rockpool,FALSE,White gold,Rings,Round
rockpool-ring-white-gold-54,Rockpool Ring White Gold 54,"Ring in White Gold, with 11mm Round Australian South Sea Pearl and 112 White Diamonds.
A single, luminous Paspaley pearl is sits atop a stunning band, set with pave diamonds. NA",NA,X17R10WPR1154,7680,2017,rockpool-ring-white-gold-54,Rockpool,FALSE,White gold,Rings,Round
rockpool-ring-white-gold-56,Rockpool Ring White Gold 56,"Ring in White Gold, with 11mm Round Australian South Sea Pearl and 112 White Diamonds.
A single, luminous Paspaley pearl is sits atop a stunning band, set with pave diamonds. NA",NA,X17R10WPR1156,7680,2017,rockpool-ring-white-gold-56,Rockpool,FALSE,White gold,Rings,Round
rockpool-ring-yellow-gold-54,Rockpool Ring Yellow Gold 54,"Ring in Yellow Gold, with 11mm Round Australian South Sea Pearl and 112 White Diamonds.
A single, luminous Paspaley pearl is sits atop a stunning band, set with pave diamonds. NA",NA,X17R10YPR1154,7680,2017,rockpool-ring-yellow-gold-54,Rockpool,FALSE,Yellow gold,Rings,Round
rockpool-ring-yellow-gold-56,Rockpool Ring Yellow Gold 56,"Ring in Yellow Gold, with 11mm Round Australian South Sea Pearl and 112 White Diamonds . A single, luminous Paspaley pearl is sits atop a stunning band, set with pave diamonds. NA",NA,X17R10YPR1156,7680,2017,rockpool-ring-yellow-gold-56,Rockpool,FALSE,Yellow gold,Rings,Round
rockpool-short-chain-white-gold,Rockpool Short Chain White Gold,"Chain in White Gold with 10, 5mm Keshi Baroque Australian South Sea Pearls and 12 White Diamonds . This stunning chain features exceptionally rare keshi pearls. Rockpool pendants can be playfully added to create a unique look. Pendant sold separately. NA",NA,X17C11WKQ05,6880,2017,rockpool-short-chain-white-gold,Rockpool,TRUE,White gold,Necklaces And Pendants,Unsure
rockpool-starfish-cuff,Rockpool Starfish Cuff,"Unique Bracelet in Yellow Gold with 79, 4-9mm Multi Keshi Baroque South Sea Pearls, 1,354 White Diamonds, 924 Yellow Diamonds, 6 Blue Sapphires and 7 Demantoid Garnets.
This exceptional piece was created over four annual harvests, using a special selection of gem-quality keshi pearls. The graduation of pearl colour from white to gold is meticulously echoed with each diamond-encrusted starfish.
Please contact our Personal Shopper for more details. NA",NA,X17B16YKQ09,218000,2017,rockpool-starfish-cuff,Rockpool,TRUE,Other,Bracelets,Unsure
rockpool-tanzanite-bracelet,Rockpool Tanzanite Bracelet,"Unique Bracelet in Platinum with twenty-eight, four 8mm Keshi Baroque Australian South Sea Pearls, four Tanzanite, 602 White Diamonds and 50 Amethyst .
Combining exceptional pieces selected from Paspaley's collection of rare cultured pearls with deep blue tanzanite and sparkling diamonds, this piece reflects the mysterious depths of the sea.
Please contact our Personal Shopper for more details. NA",NA,X17B12PKQ08,128000,2017,rockpool-tanzanite-bracelet,Rockpool,TRUE,Other,Bracelets,Unsure
rockpool-tanzanite-collier,Rockpool Tanzanite Collier,"Unique Collier in Platinum with 70, 4-6mm Keshi Baroque South Sea Australian Pearls, 10 Tanzanite, 1904 White Diamonds and 131 Amethyst.
Combining exceptional pieces selected from Paspaley's collection of rare cultured pearls with deep blue tanzanite and sparkling diamonds, this piece reflects the mysterious depths of the sea.
Please contact our Personal Shopper for more details. NA",NA,X17N11PKQ06,258000,2017,rockpool-tanzanite-collier,Rockpool,TRUE,Other,Necklaces And Pendants,Unsure
rockpool-tourmaline-collier,Rockpool Tourmaline Collier,"Unique Collier in Platinum with 83, 4-10mm Keshi Baroque Australian South Sea Pearls, 31 Aquamarine & Tourmalines and 87 White Diamonds . Mimicking peaceful rock pools, these designs feature rare aquamarine and tourmalines, combined with luminous Paspaley Keshi pearls. Please contact our Personal Shopper for more details. NA",NA,X17N12PKQ10,178000,2017,rockpool-tourmaline-collier,Rockpool,TRUE,Other,Necklaces And Pendants,Unsure
rockpool-unique-earrings,Rockpool Unique Earrings,"Unique Earrings in Platinum with two, 13mm Keshi Baroque Australian South Sea Pearls, 354 White Diamonds and 68 Amethyst.
Featuring Paspaley keshi pearls, the depth of the Kimberley waters is reflected in the graduating hues of violet and deep blue, combining Tanzanite with sparkling machine cut Amethysts and diamonds. NA",NA,X17E14PKQ13,46800,2017,rockpool-unique-earrings,Rockpool,TRUE,Other,Earrings,Unsure
rockpool-unique-ring,Rockpool Unique Ring,"Unique Ring in Platinum with one, 12mm Keshi Baroque Australian South Sea Pearl, 153 White Diamonds and 23 Amethyst.
Featuring Paspaley keshi pearls, the depth of the Kimberley waters is reflected in the graduating hues of violet and deep blue, combining Tanzanite with sparkling machine cut Amethysts and diamonds. NA",NA,X17R12PKQ12,24800,2017,rockpool-unique-ring,Rockpool,TRUE,Other,Rings,Unsure
rose-gold-grace-earrings-rose-gold,Rose Gold Grace Earrings,"Paspaley Australian South Sea pearl earrings featuring two 11mm round pearls set in 750 rose gold with two white diamonds, total 0.20 carats. These luxurious earrings have a timeless appeal. Luminous round pearls are accentuated by sparkling diamonds on a simple hook crafted from yellow gold for a subtle touch of glamour. NA",NA,C00E44RPR11,5980,2017,rose-gold-grace-earrings-rose-gold,Other,FALSE,Rose gold,Earrings,Round
rose-gold-halo-pendant,Rose Gold Halo Pendant,"Paspaley Australian South Sea pearl pendant featuring one 14mm round pearl set in 750 rose gold with eighteen white diamonds, total 0.39 carats. Chain available separately. The clean uncomplicated style of this pendant works in balance with the bold volume of the pearl, while the removable channel set gold coin adds versatility and makes this pendant the perfect adornment for minimalist style. NA",NA,C12P01RPR14,6450,2017,rose-gold-halo-pendant,Other,FALSE,Rose gold,Necklaces And Pendants,Round
round-pearl-opera-strand,Round Pearl Opera Strand,"Paspaley Australian South Sea pearl strand featuring fifty-six 15-17mm round pearls. 88cm opera length strand identified by the Paspaley Strand Signature, a brilliant cut diamond set seamlessly in the end pearl. The dramatic appeal and beautiful symmetry of a meticulously matched perfect round opera length pearl strand is a powerful expression of style. NA",NA,SOPR1517001,282000,2017,round-pearl-opera-strand,Strand,FALSE,Other,Strands,Round
round-pearl-strand,Round Pearl Strand,"Paspaley Australian South Sea pearl strand featuring thirty-two 13-15mm round pearls. 46cm princess length strand identified by the Paspaley Strand Signature, a brilliant cut diamond set seamlessly in the end pearl. The traditional appeal and beautiful symmetry of a meticulously matched perfect round pearl strand is the eternal foundation of any fine jewellery collection. A unique clasp mechanism enables you to instantaneously personalise this strand with any one of Paspaley's jewelled interchangeable clasps. NA",NA,SPPR1315004,92800,2017,round-pearl-strand,Strand,FALSE,Other,Strands,Round
round-pearl-studs,Round Pearl Studs,"Paspaley Australian South Sea pearl ear studs featuring two 10mm round pearls set in 750 yellow gold. The must have jewellery accessory for the perfectionist, these pearl studs are the epitome of classic style and can be worn with confidence on any occasion. NA",NA,C00E41YPR10,2880,2017,round-pearl-studs,Other,FALSE,Yellow gold,Earrings,Round
round-pearl-swap,Round Pearl Swap,Paspaley Australian South Sea pearl swap featuring one 15mm round pearl with 750 yellow gold mechanism. The perfect symmetry of a single round pearl worn with an interchangeable nitrile chord or cascade will instantly transform a casual look to express perfectionist style. Nitrile chord and cascades available separately. NA,NA,C00L01YPR15,7480,2017,round-pearl-swap,Other,FALSE,Yellow gold,Clasps,Round
touchstone-black-diamond-2,Touchstone Black Diamond,"Paspaley Touchstone earrings featuring two, 11mm oval Australian South Sea pearls set in 750 white gold with twenty-two black diamonds (0.77ct) and two white diamonds (0.07ct)Introducing the Touchstone Black Diamond collection, a stunning contrast between smooth Australian South Sea pearls and inverted black diamonds. The perfect gift for you or someone special. NA",NA,V16E02WPO11,6280,2017,touchstone-black-diamond-2,Touchstone,FALSE,White gold,Earrings,Oval
touchstone-black-diamond-5,Touchstone Black Diamond,"Australian South Sea pearl bracelet featuring five, 11mm oval Australian South Sea pearls set in 750 white gold with one hundred black diamonds (0.80ct) and twelve white diamonds (0.03ct)Introducing the Touchstone Black Diamond collection, a stunning contrast between smooth Australian South Sea pearls and inverted black diamonds. The perfect gift for you or someone special. NA",NA,V16B02WPO11,9680,2017,touchstone-black-diamond-5,Touchstone,FALSE,White gold,Bracelets,Oval
touchstone-black-diamond-7,Touchstone Black Diamond,"Paspaley Touchstone necklace featuring seven, 12mm Australian South Sea oval pearls set in 750 white gold with one hundred and fourty black Diamonds (1.21ct) and twelve white diamonds (0.03ct)Introducing the Touchstone Black Diamond collection, a stunning contrast between smooth Australian South Sea pearls and inverted black diamonds. The perfect gift for you or someone special. NA",NA,V16N01WPO12,13800,2017,touchstone-black-diamond-7,Touchstone,FALSE,White gold,Necklaces And Pendants,Oval
touchstone-black-diamond-clasp,Touchstone Black Diamond Clasp,"Paspaley Touchstone clasp featuring one hundred and twenty black diamonds (2.40ct) and fourteen white diamonds (0.04ct) set in 750 white goldIntroducing the Touchstone Black Diamond collection, a stunning contrast between smooth Australian South Sea pearls and inverted black diamonds. The perfect gift for you or someone special. NA",NA,V16L04W,8680,2017,touchstone-black-diamond-clasp,Touchstone,FALSE,White gold,Clasps,Unsure
touchstone-black-diamond-ring-13mm,Touchstone Black Diamond Ring,"Paspaley Touchstone ring featuring one, 13mm button Australian South Sea pearl set in 750 white gold with forty-eight black diamonds (5.46ct) and ninety-six white diamonds (0.41ct)Introducing the Touchstone Black Diamond collection, a stunning contrast between smooth Australian South Sea pearls and inverted black diamonds. The perfect gift for you or someone special. NA",NA,V16R04WPB13,18800,2017,touchstone-black-diamond-ring-13mm,Touchstone,FALSE,White gold,Rings,Button
touchstone-black-diamond-ring-9-10mm,Touchstone Black Diamond Ring,"Paspaley Touchstone ring featuring one, 9-10mm Australian South Sea oval pearl set in 750 white gold with thirty-nine black diamonds (0.48ct)Introducing the Touchstone Black Diamond collection, a stunning contrast between smooth Australian South Sea pearls and inverted black diamonds. The perfect gift for you or someone special. NA",NA,V16R01WPO09,4980,2017,touchstone-black-diamond-ring-9-10mm,Touchstone,FALSE,White gold,Rings,Oval
touchstone-diamond-bracelet,Touchstone Diamond Bracelet,"Paspaley Australian South Sea pearl bracelet featuring five 11mm round pearls set in 750 rose gold with one hundred and twelve white diamonds, total 0.85 carats. This is natural perfection on your wrist pure, luminous pearls surrounded by dazzling white diamonds. Exquisite and understated, this bracelet will take you from day to night. NA",NA,V14B02RPR11,12300,2017,touchstone-diamond-bracelet,Touchstone,FALSE,Rose gold,Bracelets,Round
touchstone-diamond-horseshoe,Touchstone Diamond Horseshoe,"Paspaley Australian South Sea pearl earrings featuring two 13mm round pearls set in 750 rose gold with seventy-eight white diamonds, total 0.94 carats. Luminous pearls with a splash of sparkling light, the pave set inverted gems make these earrings uniquely tactile. Add a hint of understated glamour to daywear or complete an elegant evening look. The pearls are removable for a simple huggie style earring. NA",NA,V14E03RPR13,11800,2017,touchstone-diamond-horseshoe,Touchstone,FALSE,Rose gold,Earrings,Round
touchstone-diamond-necklet,Touchstone Diamond Necklet,"Paspaley Australian South Sea pearl necklace featuring one 13mm round pearl set in 750 rose gold with white diamonds. Adjustable length from 30cm to 60cm. A crown of white diamonds gives a flash of light and a subtle glimmer, offsetting the lustre of the rotating pearl. This is a timeless piece you can wear with anything. NA",NA,V14N04RPR13,4980,2017,touchstone-diamond-necklet,Touchstone,FALSE,Rose gold,Necklaces And Pendants,Round
touchstone-diamond-ring,Touchstone Diamond Ring,"Paspaley Touchstone ring featuring one, 9-10mm Australian South Sea oval pearl set in 750 yellow gold with thirty-nine white diamonds (0.48ct)The Touchstone collection provides a striking contrast between the smoothness of the pearl and inverted gemstones in different hues. This ring delicately wraps around the finger highlighting the pearl against the luminous diamonds. NA",NA,V16R01YPO09,5480,2017,touchstone-diamond-ring,Touchstone,FALSE,Yellow gold,Rings,Oval
touchstone-diamond-rope,Touchstone Diamond Rope,"Paspaley Australian South Sea pearl necklace featuring twelve 12mm round pearls set in 750 rose gold with two hundred and sixty white diamonds, total 2.39 carats. This necklace combines the elegance of perfectly matched pearls with glimmering white diamonds. Linked by white gold, this is a striking take on a classic. This piece can also be doubled up for a shorter style. NA",NA,V14N03RPR12,42800,2017,touchstone-diamond-rope,Touchstone,FALSE,White gold,Necklaces And Pendants,Round
touchstone-diamond-tassel,Touchstone Diamond Tassel,"Paspaley Australian South Sea pearl necklace featuring one 15mm round pearl set in 750 rose gold with seventy-seven white diamonds, total 0.93 carats. Adjustable length from 39cm to 78cm. The warm purity of a free moving pearl is offset by a sparkling halo of white diamonds. More gems on tassels add a bright, eye-catching accent to this classic necklace. NA",NA,V14N06RPR15,16800,2017,touchstone-diamond-tassel,Touchstone,FALSE,Rose gold,Necklaces And Pendants,Round
touchstone-jackfruit-clasp,Touchstone Jackfruit Clasp,"Paspaley clasp set in 750 white gold with one hundred and twenty tsavorites, total 2.59 carats and white diamonds. Radiant with pave set tsavorites, the opulence of tropical fruit is brought to life in this jungle-green clasp perfect for adding a surprisingly personal touch to your prize strand of pearls. NA",NA,V14L04W,9380,2017,touchstone-jackfruit-clasp,Touchstone,FALSE,White gold,Clasps,Unsure
touchstone-jungle-green-bracelet,Touchstone Jungle Green Bracelet,"Paspaley Australian South Sea pearl bracelet featuring five 12mm oval pearls set in 750 white gold with one hundred tsavorites total 0.93 carats and white diamonds. This is natural perfection on your wrist pure, luminous pearls surrounded by jungle-green tsavorites and dazzling white diamonds. Exquisite and understated, this bracelet will take you from day to night. NA",NA,V14B02WPO12,9280,2017,touchstone-jungle-green-bracelet,Touchstone,FALSE,White gold,Bracelets,Oval
touchstone-jungle-green-drop,Touchstone Jungle Green Drop,"Paspaley Australian South Sea pearl earrings featuring two 12mm oval pearls set in 750 white gold with twenty-two tsavorites total 0.66 carats and white diamonds. The perfect simplicity of matched pearls combined with dazzling green tsavorites and white diamonds, these drop earrings are timelessly elegant with a hint of luxury. NA",NA,V14E02WPO12,5880,2017,touchstone-jungle-green-drop,Touchstone,FALSE,White gold,Earrings,Oval
touchstone-jungle-green-necklet,Touchstone Jungle Green Necklet,"Paspaley Australian South Sea pearl necklace featuring one 13mm oval pearl in 750 white gold with ten tsavorites total 0.10 carats and white diamonds. Adjustable length from 30cm to 60cm. A crown of jungle-green tsavorites gives a flash of colour, while the subtle glimmer of diamonds offsets the lustre of the rotating pearl. This is a timeless piece you can wear with anything. NA",NA,V14N04WPO13,3980,2017,touchstone-jungle-green-necklet,Touchstone,FALSE,White gold,Necklaces And Pendants,Oval
touchstone-jungle-green-ring,Touchstone Jungle Green Ring,"Paspaley Australian South Sea pearl ring featuring one 13mm button pearl in 750 white gold with ninety-six white diamonds and forty-eight tsavorites, total 4.50 carats and 0.46 carats. Fresh and Elegant this ring features hand selected Australian South Sea pearls, white diamonds as well as jungle green tsavorites. NA",NA,V14R04WPB13,18800,2017,touchstone-jungle-green-ring,Touchstone,FALSE,White gold,Rings,Button
touchstone-jungle-green-rope,Touchstone Jungle Green Rope,"Paspaley Australian South Sea pearl necklace featuring twelve 12mm oval pearls set in 750 white gold with two hundred and seventy-two tsavorites, total 3.48 carats. This necklace combines the elegance of perfectly matched pearls with deep jungle-green tsavorites. Linked by white gold, this is a striking take on a classic. This piece can also be doubled up for a shorter style. NA",NA,V14N03WPO12,29800,2017,touchstone-jungle-green-rope,Touchstone,FALSE,White gold,Necklaces And Pendants,Oval
touchstone-jungle-green-tassel,Touchstone Jungle Green Tassel,"Paspaley Australian South Sea pearl necklace featuring one 15mm button pearl set in 750 white gold with fifty-two white diamonds and twenty-five tsavorites, total 0.27 carats and 0.88 carats. Adjustable length from 39cm to 78cm. The warm purity of a free moving pearl is offset by a halo of jungle-green tsavorites. More gems on tassels add a bright, eye-catching accent to this classic necklace. NA",NA,V14N06WPB15,8680,2017,touchstone-jungle-green-tassel,Touchstone,FALSE,White gold,Necklaces And Pendants,Button
